ElmaSuyu	1	1.0	10.5	100
PortakalSuyu	1	1.0	12.0	80
cay	1	0.2	15.0	50
kahve 	1	0.3	8.5	120
soda	 1	0.5	35.0	60
Karabiber	2	0.7	40.0	30
Kimyon	2	1.0	90.0	20
kekik	2	1.0	45.0	50
Pulbiber	 2	2.0	25.0	75
nane	2	0.5	12.0	150
jelibon	3	0.25	18.0	90
lokum	3	0.2	22.5	70
Marshmallow	3	1.0	30.0	40
çikolata 	3	1.0	35.0	35
dondurma 3	0.1	12.0	200
yogurt	4	0.12	14.0	180
peynir	4	0.5	8.0	100
kaymak	4	1.5	13.0	90
Ayran	4	1.0	6.5	120
tereyağ	4	1.5	3.0	200
mercimek	5	5.0	125.0	40
nohut	5	2.0	95.0	50
buğday	5	1.0	20.0	100
KuruFasulye	 5	1.0	18.0	85
mısır	5	0.06	7.5	250
